name,birth_date,age,gender,hometown,address,phone,exp_years
Phạm Văn Đức,3/8/1999,27,Nam,Hà Nội,"150 Phan Chu Trinh, Nha Trang, Khánh Hòa",931924806,4
Hồ Thanh Phong,1/1/1970,56,Nam,Thanh Hóa,"568 Phan Chu Trinh, Thuận An, Bình Dương",925368981,17
Huỳnh Phương Nhung,9/26/1977,48,Nữ,Huế,"106 Nguyễn Huệ, Dĩ An, Bình Dương",736894215,20
Bùi Mỹ Quỳnh,6/12/1991,35,Nữ,Nghệ An,"233 Điện Biên Phủ, Cái Răng, Cần Thơ",662651481,2
Phan Thu Yến,5/28/1987,39,Nữ,Huế,"495 Lê Lợi, Thuận Hóa, Huế",799440943,14
Trần Diệu Nga,12/14/1981,44,Nữ,TP. Hồ Chí Minh,"854 Hoàng Văn Thụ, Hạ Long, Quảng Ninh",389481181,1
Lý Thị Trang,2/7/1993,33,Nữ,Quảng Ninh,"9 Hai Bà Trưng, Thuận An, Bình Dương",361739412,5
Ngô Thanh Thảo,11/4/1988,37,Nữ,Đà Nẵng,"377 Lý Thường Kiệt, Thanh Khê, Đà Nẵng",174911054,4
Dương Thị Vy,2/15/1967,59,Nữ,Cần Thơ,"690 Trần Hưng Đạo, Nha Trang, Khánh Hòa",597178087,2
Võ Bảo Hà,12/25/1977,48,Nữ,Khánh Hòa,"776 Lê Lợi, Quận 3, TP. Hồ Chí Minh",701913856,17
Nguyễn Kim Anh,7/7/1984,42,Nữ,Cần Thơ,"726 Nguyễn Huệ, Thuận An, Bình Dương",172753601,1
Trần Ngọc My,12/19/1960,65,Nữ,Thanh Hóa,"785 Cách Mạng Tháng Tám, Cẩm Phả, Quảng Ninh",618724591,1
Lý Trọng Thành,9/3/1997,29,Nam,Cần Thơ,"471 Hoàng Văn Thụ, Thuận Hóa, Huế",719260257,4
Phạm Hoàng Tuấn,6/23/1964,62,Nam,Đà Nẵng,"741 Điện Biên Phủ, Ngũ Hành Sơn, Đà Nẵng",726807822,39
Dương Bảo Mai,6/21/1984,42,Nữ,Hải Phòng,"636 Cách Mạng Tháng Tám, Thuận Hóa, Huế",208672343,14
Phan Quốc Đức,3/31/1983,43,Nam,Nghệ An,"599 Hai Bà Trưng, Long Khánh, Đồng Nai",687030447,14
Đỗ Phương Châu,11/6/1972,53,Nữ,Nghệ An,"449 Nguyễn Trãi, Dĩ An, Bình Dương",374204007,11
